,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,total_ex,mean,normalized_mean,normalized_theta
104,A1BM57TUNAQIXM,8,nonSeqPartial,0,0.3,9,1,B,4,4,0.72,0.42,0.0,2.6,yes,8,0.5,0.5,0.7
105,A1BM57TUNAQIXM,9,nonSeqFull,0,0.7,1,9,A,9,0,0.53,0.16999999999999993,0.0,2.6,yes,9,1.0,1.0,0.7
106,A1BM57TUNAQIXM,10,seqNoFeedback,0,0.3,9,1,B,0,6,,,,2.6,yes,6,0.0,1.0,0.7
107,A1BM57TUNAQIXM,10,seqNoFeedback,1,0.3,9,1,B,2,0,0.61,0.31,0.0,2.6,yes,2,1.0,0.0,0.7
108,A1BM57TUNAQIXM,11,seqNoFeedback,0,0.7,1,9,A,3,0,,,,2.6,yes,3,1.0,1.0,0.7
109,A1BM57TUNAQIXM,11,seqNoFeedback,1,0.7,1,9,A,2,1,0.38,0.31999999999999995,0.0,2.6,yes,3,0.6666666666666666,0.6666666666666666,0.7
110,A1BM57TUNAQIXM,12,seqFeedback,0,0.3,9,1,B,0,2,0.75,,,2.6,yes,2,0.0,1.0,0.7
111,A1BM57TUNAQIXM,12,seqFeedback,1,0.3,9,1,B,0,10,0.41,0.10999999999999999,0.0,2.6,yes,10,0.0,1.0,0.7
112,A1BM57TUNAQIXM,13,nonSeqFull,0,0.3,1,9,A,2,0,0.25,0.04999999999999999,0.68,2.6,yes,2,1.0,1.0,0.3
113,A1BM57TUNAQIXM,14,seqNoFeedback,0,0.3,1,9,A,2,3,,,,2.6,yes,5,0.4,0.4,0.3
114,A1BM57TUNAQIXM,14,seqNoFeedback,1,0.3,1,9,A,0,4,0.16,0.13999999999999999,0.0,2.6,yes,4,0.0,0.0,0.3
115,A1BM57TUNAQIXM,15,nonSeqPartial,0,0.3,1,9,A,0,8,0.06,0.24,0.0,2.6,yes,8,0.0,0.0,0.3
116,A1E77HZO63E334,0,seqNoFeedback,0,0.7,9,1,B,8,2,,,,2.83,yes,10,0.8,0.19999999999999996,0.3
117,A1E77HZO63E334,0,seqNoFeedback,1,0.7,9,1,B,8,2,0.83,0.13,0.0,2.83,yes,10,0.8,0.19999999999999996,0.3
118,A1E77HZO63E334,1,seqFeedback,0,0.3,9,1,B,3,7,0.60,,,2.83,yes,10,0.3,0.7,0.7
119,A1E77HZO63E334,1,seqFeedback,1,0.3,9,1,B,3,7,0.50,0.2,0.0,2.83,yes,10,0.3,0.7,0.7
120,A1E77HZO63E334,2,seqNoFeedback,0,0.3,1,9,A,3,7,,,,2.83,yes,10,0.3,0.3,0.3
121,A1E77HZO63E334,2,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,2.83,yes,10,0.3,0.3,0.3
122,A1E77HZO63E334,3,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,2.83,yes,10,0.3,0.3,0.3
123,A1E77HZO63E334,3,seqFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,2.83,yes,10,0.3,0.3,0.3
124,A1E77HZO63E334,4,nonSeqPartial,0,0.3,1,9,A,3,7,0.20,0.09999999999999998,0.0,2.83,yes,10,0.3,0.3,0.3
125,A1E77HZO63E334,5,nonSeqPartial,0,0.7,1,9,A,7,3,0.40,0.29999999999999993,0.0,2.83,yes,10,0.7,0.7,0.7
126,A1E77HZO63E334,6,nonSeqPartial,0,0.3,9,1,B,3,7,0.60,0.3,0.0,2.83,yes,10,0.3,0.7,0.7
127,A1E77HZO63E334,7,nonSeqFull,0,0.7,9,1,B,5,5,0.70,0.0,0.6,2.83,yes,10,0.5,0.5,0.3
