subject_id,alpha,costWeight,block_type,trial_num,theta,student_class,heads,tails
5,1,0.01,seqFeedback,0,0.3,B,1,0
5,1,0.01,seqFeedback,1,0.3,B,1,46
5,1,0.01,seqFeedback,0,0.7,A,17,9
5,1,0.01,seqFeedback,1,0.7,A,24,4
5,1,0.01,seqFeedback,0,0.7,B,20,17
5,1,0.01,seqFeedback,1,0.7,B,47,22
6,1,0.01,nonSeqFull,0,0.3,A,19,25
6,1,0.01,nonSeqFull,0,0.3,B,13,34
6,1,0.01,nonSeqFull,0,0.7,A,20,1
6,1,0.01,nonSeqFull,0,0.7,B,3,3
6,1,0.01,nonSeqPartial,0,0.3,A,16,15
6,1,0.01,nonSeqPartial,0,0.3,B,0,31
6,1,0.01,nonSeqPartial,0,0.7,A,30,8
6,1,0.01,nonSeqPartial,0,0.7,B,24,19
6,1,0.01,seqNoFeedback,0,0.3,A,1,2
6,1,0.01,seqNoFeedback,1,0.3,A,14,24
6,1,0.01,seqNoFeedback,0,0.3,B,12,16
6,1,0.01,seqNoFeedback,1,0.3,B,5,1
6,1,0.01,seqNoFeedback,0,0.7,A,44,9
6,1,0.01,seqNoFeedback,1,0.7,A,9,0
6,1,0.01,seqNoFeedback,0,0.7,B,55,12
6,1,0.01,seqNoFeedback,1,0.7,B,19,0
6,1,0.01,seqFeedback,0,0.3,A,17,29
6,1,0.01,seqFeedback,1,0.3,A,2,0
6,1,0.01,seqFeedback,0,0.3,B,11,48
6,1,0.01,seqFeedback,1,0.3,B,8,58
6,1,0.01,seqFeedback,0,0.7,A,13,4
6,1,0.01,seqFeedback,1,0.7,A,47,11
6,1,0.01,seqFeedback,0,0.7,B,1,3
6,1,0.01,seqFeedback,1,0.7,B,9,11
7,1,0.01,nonSeqFull,0,0.3,A,17,36
7,1,0.01,nonSeqFull,0,0.3,B,9,33
7,1,0.01,nonSeqFull,0,0.7,A,15,3
7,1,0.01,nonSeqFull,0,0.7,B,30,26
7,1,0.01,nonSeqPartial,0,0.3,A,5,30
7,1,0.01,nonSeqPartial,0,0.3,B,6,33
7,1,0.01,nonSeqPartial,0,0.7,A,44,20
7,1,0.01,nonSeqPartial,0,0.7,B,25,13
7,1,0.01,seqNoFeedback,0,0.3,A,6,13
7,1,0.01,seqNoFeedback,1,0.3,A,3,8
7,1,0.01,seqNoFeedback,0,0.3,B,14,32
7,1,0.01,seqNoFeedback,1,0.3,B,2,0
7,1,0.01,seqNoFeedback,0,0.7,A,9,5
7,1,0.01,seqNoFeedback,1,0.7,A,32,25
7,1,0.01,seqNoFeedback,0,0.7,B,27,15
7,1,0.01,seqNoFeedback,1,0.7,B,18,8
7,1,0.01,seqFeedback,0,0.3,A,2,2
7,1,0.01,seqFeedback,1,0.3,A,7,2
7,1,0.01,seqFeedback,0,0.3,B,10,20
7,1,0.01,seqFeedback,1,0.3,B,1,30
7,1,0.01,seqFeedback,0,0.7,A,28,6
7,1,0.01,seqFeedback,1,0.7,A,22,12
7,1,0.01,seqFeedback,0,0.7,B,35,1
7,1,0.01,seqFeedback,1,0.7,B,6,10
8,1,0.01,nonSeqFull,0,0.3,A,12,5
8,1,0.01,nonSeqFull,0,0.3,B,15,51
8,1,0.01,nonSeqFull,0,0.7,A,30,7
8,1,0.01,nonSeqFull,0,0.7,B,5,6
8,1,0.01,nonSeqPartial,0,0.3,A,10,15
8,1,0.01,nonSeqPartial,0,0.3,B,5,20
8,1,0.01,nonSeqPartial,0,0.7,A,31,3
8,1,0.01,nonSeqPartial,0,0.7,B,35,5
8,1,0.01,seqNoFeedback,0,0.3,A,19,40
8,1,0.01,seqNoFeedback,1,0.3,A,10,18
8,1,0.01,seqNoFeedback,0,0.3,B,1,0
8,1,0.01,seqNoFeedback,1,0.3,B,19,26
8,1,0.01,seqNoFeedback,0,0.7,A,36,4
8,1,0.01,seqNoFeedback,1,0.7,A,21,6
8,1,0.01,seqNoFeedback,0,0.7,B,51,9
8,1,0.01,seqNoFeedback,1,0.7,B,40,3
8,1,0.01,seqFeedback,0,0.3,A,8,9
8,1,0.01,seqFeedback,1,0.3,A,7,5
8,1,0.01,seqFeedback,0,0.3,B,23,47
8,1,0.01,seqFeedback,1,0.3,B,2,16
8,1,0.01,seqFeedback,0,0.7,A,25,0
8,1,0.01,seqFeedback,1,0.7,A,46,15
8,1,0.01,seqFeedback,0,0.7,B,45,22
8,1,0.01,seqFeedback,1,0.7,B,34,14
