subject,run,block_idx,ex_idx,first_movement,start,onset,problem,order,example,rating
2,3,0,2,"[5, 1]","[5, 0]",58.849999999999994,36,"['C', 'A', 'B', 'D']","[1, 1]",2.0
2,3,1,0,"[1, 0]","[0, 0]",105.74999999999999,17,"['D', 'A', 'B', 'C']","[3, 0]",0.0
2,3,1,1,"[1, 0]","[0, 0]",119.7,17,"['D', 'A', 'B', 'C']","[4, 1]",2.0
2,3,1,2,"[1, 0]","[0, 0]",133.95000000000002,17,"['D', 'A', 'B', 'C']","[5, 2]",2.0
2,3,2,0,"[5, 4]","[5, 5]",176.45000000000002,29,"['A', 'C', 'D', 'B']","[3, 1]",2.0
2,3,2,1,"[5, 4]","[5, 5]",189.95,29,"['A', 'C', 'D', 'B']","[1, 3]",2.0
2,3,2,2,"[5, 4]","[5, 5]",205.2,29,"['A', 'C', 'D', 'B']","[4, 3]",2.0
2,3,3,0,"[0, 4]","[0, 5]",251.7,15,"['B', 'D', 'A', 'C']","[2, 1]",2.0
2,3,3,1,"[0, 4]","[0, 5]",267.15000000000003,15,"['B', 'D', 'A', 'C']","[0, 2]",3.0
2,3,3,2,"[0, 4]","[0, 5]",283.5,15,"['B', 'D', 'A', 'C']","[5, 2]",4.0
2,4,0,0,"[5, 1]","[5, 0]",30.0,6,"['B', 'A', 'D', 'C']","[4, 2]",3.0
2,4,0,1,"[5, 1]","[5, 0]",46.900000000000006,6,"['B', 'A', 'D', 'C']",,0.0
2,4,0,2,"[5, 1]","[5, 0]",60.95,6,"['B', 'A', 'D', 'C']","[4, 4]",2.0
2,4,1,0,"[0, 4]","[0, 5]",104.45,25,"['D', 'A', 'C', 'B']","[1, 2]",2.0
2,4,1,1,"[0, 4]","[0, 5]",121.25,25,"['D', 'A', 'C', 'B']","[2, 2]",1.0
2,4,1,2,"[0, 4]","[0, 5]",137.45,25,"['D', 'A', 'C', 'B']","[2, 1]",2.0
2,4,2,0,"[5, 5]","[5, 5]",181.45,7,"['B', 'C', 'A', 'D']","[2, 0]",2.0
2,4,2,1,"[5, 5]","[5, 5]",194.9,7,"['B', 'C', 'A', 'D']","[2, 3]",2.0
2,4,2,2,"[5, 5]","[5, 5]",208.35000000000002,7,"['B', 'C', 'A', 'D']","[1, 3]",4.0
2,4,3,0,"[0, 1]","[0, 0]",256.20000000000005,35,"['D', 'B', 'C', 'A']","[0, 2]",2.0
2,4,3,1,"[0, 1]","[0, 0]",270.6,35,"['D', 'B', 'C', 'A']","[0, 3]",4.0
2,4,3,2,"[0, 1]","[0, 0]",284.45000000000005,35,"['D', 'B', 'C', 'A']","[1, 3]",4.0
2,5,0,0,"[0, 4]","[0, 5]",30.0,30,"['A', 'D', 'C', 'B']","[1, 2]",2.0
2,5,0,1,"[0, 4]","[0, 5]",44.050000000000004,30,"['A', 'D', 'C', 'B']","[1, 3]",3.0
2,5,0,2,"[0, 4]","[0, 5]",59.5,30,"['A', 'D', 'C', 'B']","[1, 0]",4.0
2,5,1,0,"[0, 1]","[0, 0]",107.2,32,"['C', 'B', 'D', 'A']","[1, 2]",2.0
2,5,1,1,"[0, 1]","[0, 0]",121.75,32,"['C', 'B', 'D', 'A']","[2, 2]",2.0
2,5,1,2,"[0, 1]","[0, 0]",137.70000000000002,32,"['C', 'B', 'D', 'A']","[1, 3]",3.0
2,5,2,0,"[5, 4]","[5, 5]",181.1,31,"['D', 'B', 'A', 'C']","[0, 1]",3.0
2,5,2,1,"[5, 4]","[5, 5]",196.0,31,"['D', 'B', 'A', 'C']","[1, 2]",
2,5,2,2,"[5, 4]","[5, 5]",210.7,31,"['D', 'B', 'A', 'C']","[1, 3]",3.0
2,5,3,0,"[5, 0]","[5, 0]",254.04999999999998,14,"['B', 'A', 'C', 'D']","[4, 1]",2.0
2,5,3,1,"[5, 0]","[5, 0]",268.9,14,"['B', 'A', 'C', 'D']",,3.0
2,5,3,2,"[5, 0]","[5, 0]",284.19999999999993,14,"['B', 'A', 'C', 'D']","[2, 1]",2.0
2,6,0,0,"[1, 5]","[0, 5]",30.0,13,"['B', 'D', 'C', 'A']","[2, 2]",2.0
2,6,0,1,"[1, 5]","[0, 5]",45.3,13,"['B', 'D', 'C', 'A']","[2, 3]",2.0
2,6,0,2,"[1, 5]","[0, 5]",58.8,13,"['B', 'D', 'C', 'A']","[3, 3]",2.0
2,6,1,0,"[1, 0]","[0, 0]",102.14999999999999,27,"['B', 'A', 'D', 'C']","[2, 1]",2.0
2,6,1,1,"[1, 0]","[0, 0]",115.69999999999999,27,"['B', 'A', 'D', 'C']","[3, 1]",2.0
2,6,1,2,"[1, 0]","[0, 0]",129.54999999999998,27,"['B', 'A', 'D', 'C']","[4, 1]",2.0
