,subject_id,student_idx,block_type,trial_num,true_theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus
83,A1FVXS8IM5QYO8,7,seqNoFeedback,1,0.2,8,2,D,4,12,0.3684210526315789,0.16842105263157892,0.0
84,A1FVXS8IM5QYO8,8,nonSeqPartial,0,0.2,8,2,D,3,7,0.55,0.35000000000000003,0.0
85,A1FVXS8IM5QYO8,9,seqFeedback,0,0.5,4,1,B,5,5,0.6,,
86,A1FVXS8IM5QYO8,9,seqFeedback,1,0.5,4,1,B,7,7,0.5517241379310345,0.051724137931034475,0.0
87,A1FVXS8IM5QYO8,10,seqNoFeedback,0,0.5,1,4,A,8,8,,,
88,A1FVXS8IM5QYO8,10,seqNoFeedback,1,0.5,1,4,A,6,8,0.42857142857142855,0.07142857142857145,0.0
89,A1FVXS8IM5QYO8,11,seqFeedback,0,0.2,8,2,D,6,6,0.6363636363636364,,
90,A1FVXS8IM5QYO8,11,seqFeedback,1,0.2,8,2,D,5,5,0.59375,0.39375,0.0
91,A1FVXS8IM5QYO8,12,seqFeedback,0,0.2,1,4,A,4,8,0.29411764705882354,,
92,A1FVXS8IM5QYO8,12,seqFeedback,1,0.2,1,4,A,4,9,0.3,0.09999999999999998,0.0
93,A1FVXS8IM5QYO8,13,nonSeqFull,0,0.8,1,4,A,6,2,0.5384615384615384,0.2615384615384616,0.0
94,A1FVXS8IM5QYO8,14,nonSeqFull,0,0.2,4,1,B,5,8,0.5,0.3,0.0
95,A1FVXS8IM5QYO8,15,nonSeqPartial,0,0.5,1,4,A,5,5,0.4,0.09999999999999998,0.0
96,A1FVXS8IM5QYO8,16,seqNoFeedback,0,0.8,2,8,C,8,2,,,
