,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
96,A12HZGOZQD5YK7,1,seqNoFeedback,0,0.7,9,1,B,7,1,,,,3.82,yes,3,8,0.875,0.125,0.3
97,A12HZGOZQD5YK7,1,seqNoFeedback,1,0.7,9,1,B,5,1,0.88,0.18000000000000005,0.0,3.82,yes,3,6,0.8333333333333334,0.16666666666666663,0.3
98,A12HZGOZQD5YK7,2,nonSeqPartial,0,0.3,1,9,A,0,8,0.06,0.24,0.0,3.82,yes,3,8,0.0,0.0,0.3
99,A12HZGOZQD5YK7,3,seqFeedback,0,0.3,1,9,A,5,20,0.17,,,3.82,yes,3,25,0.2,0.2,0.3
100,A12HZGOZQD5YK7,3,seqFeedback,1,0.3,1,9,A,0,20,0.11,0.19,0.0,3.82,yes,3,20,0.0,0.0,0.3
101,A12HZGOZQD5YK7,4,nonSeqFull,0,0.7,9,1,B,0,2,0.75,0.050000000000000044,0.68,3.82,yes,3,2,0.0,1.0,0.3
102,A12HZGOZQD5YK7,5,seqNoFeedback,0,0.3,1,9,A,4,20,,,,3.82,yes,3,24,0.16666666666666666,0.16666666666666666,0.3
103,A12HZGOZQD5YK7,5,seqNoFeedback,1,0.3,1,9,A,3,7,0.18,0.12,0.0,3.82,yes,3,10,0.3,0.3,0.3
104,A12HZGOZQD5YK7,6,nonSeqFull,0,0.3,9,1,B,0,15,0.36,0.06,0.55,3.82,yes,3,15,0.0,1.0,0.7
105,A12HZGOZQD5YK7,7,seqNoFeedback,0,0.3,9,1,B,9,42,,,,3.82,yes,3,51,0.17647058823529413,0.8235294117647058,0.7
106,A12HZGOZQD5YK7,7,seqNoFeedback,1,0.3,9,1,B,9,21,0.30,0.0,0.0,3.82,yes,3,30,0.3,0.7,0.7
107,A12HZGOZQD5YK7,8,seqFeedback,0,0.7,9,1,B,21,8,0.77,,,3.82,yes,3,29,0.7241379310344828,0.27586206896551724,0.3
108,A12HZGOZQD5YK7,8,seqFeedback,1,0.7,9,1,B,0,1,0.75,0.050000000000000044,0.4,3.82,yes,3,1,0.0,1.0,0.3
109,A12HZGOZQD5YK7,9,seqFeedback,0,0.7,1,9,A,28,12,0.58,,,3.82,yes,3,40,0.7,0.7,0.7
110,A12HZGOZQD5YK7,9,seqFeedback,1,0.7,1,9,A,10,0,0.65,0.04999999999999993,0.2,3.82,yes,3,10,1.0,1.0,0.7
111,A12HZGOZQD5YK7,10,nonSeqFull,0,0.3,1,9,A,9,18,0.27,0.02999999999999997,0.43,3.82,yes,3,27,0.3333333333333333,0.3333333333333333,0.3
112,A12HZGOZQD5YK7,11,nonSeqPartial,0,0.7,1,9,A,28,6,0.66,0.039999999999999925,0.36,3.82,yes,3,34,0.8235294117647058,0.8235294117647058,0.7
113,A12HZGOZQD5YK7,12,seqNoFeedback,0,0.7,1,9,A,40,10,,,,3.82,yes,3,50,0.8,0.8,0.7
114,A12HZGOZQD5YK7,12,seqNoFeedback,1,0.7,1,9,A,21,9,0.69,0.010000000000000009,0.0,3.82,yes,3,30,0.7,0.7,0.7
115,A12HZGOZQD5YK7,13,nonSeqPartial,0,0.3,9,1,B,5,30,0.31,0.010000000000000009,0.35,3.82,yes,3,35,0.14285714285714285,0.8571428571428572,0.7
116,A12HZGOZQD5YK7,14,nonSeqPartial,0,0.7,9,1,B,35,15,0.73,0.030000000000000027,0.2,3.82,yes,3,50,0.7,0.30000000000000004,0.3
117,A12HZGOZQD5YK7,15,seqFeedback,0,0.3,9,1,B,15,35,0.40,,,3.82,yes,3,50,0.3,0.7,0.7
118,A12HZGOZQD5YK7,15,seqFeedback,1,0.3,9,1,B,0,10,0.34,0.040000000000000036,0.1,3.82,yes,3,10,0.0,1.0,0.7
119,A173MXK429XAZQ,0,seqNoFeedback,0,0.7,1,9,A,5,1,,,,1.52,yes,3,6,0.8333333333333334,0.8333333333333334,0.7
