alpha,costWeight,block_type,trial_num,true_theta,student_class,heads,tails
3,0.001,nonSeqFull,0,0.2,D,3,27
3,0.001,nonSeqFull,0,0.5,B,9,18
3,0.001,nonSeqFull,0,0.5,D,4,6
3,0.001,nonSeqFull,0,0.8,A,27,2
3,0.001,nonSeqFull,0,0.8,C,26,1
3,0.001,nonSeqPartial,0,0.2,A,0,10
3,0.001,nonSeqPartial,0,0.2,C,5,25
3,0.001,nonSeqPartial,0,0.5,A,12,10
3,0.001,nonSeqPartial,0,0.5,C,7,15
3,0.001,nonSeqPartial,0,0.8,B,12,4
3,0.001,nonSeqPartial,0,0.8,D,19,5
3,0.001,seqNoFeedback,0,0.2,A,1,26
3,0.001,seqNoFeedback,1,0.2,A,1,13
3,0.001,seqNoFeedback,0,0.2,D,6,22
3,0.001,seqNoFeedback,1,0.2,D,1,22
3,0.001,seqNoFeedback,0,0.5,A,2,9
3,0.001,seqNoFeedback,1,0.5,A,13,9
3,0.001,seqNoFeedback,0,0.5,C,11,18
3,0.001,seqNoFeedback,1,0.5,C,15,8
3,0.001,seqNoFeedback,0,0.8,B,5,2
3,0.001,seqNoFeedback,1,0.8,B,14,2
3,0.001,seqNoFeedback,0,0.8,C,29,0
3,0.001,seqNoFeedback,1,0.8,C,0,2
3,0.001,seqFeedback,0,0.2,B,4,16
3,0.001,seqFeedback,1,0.2,B,1,16
3,0.001,seqFeedback,0,0.2,D,1,18
3,0.001,seqFeedback,1,0.2,D,1,28
3,0.001,seqFeedback,0,0.5,B,9,8
3,0.001,seqFeedback,1,0.5,B,11,18
3,0.001,seqFeedback,0,0.5,C,15,11
3,0.001,seqFeedback,1,0.5,C,15,9
3,0.001,seqFeedback,0,0.8,A,23,5
3,0.001,seqFeedback,1,0.8,A,18,1
3,0.001,seqFeedback,0,0.8,D,24,0
3,0.001,seqFeedback,1,0.8,D,15,5
3,0.001,nonSeqFull,0,0.2,A,1,0
3,0.001,nonSeqFull,0,0.2,D,1,19
3,0.001,nonSeqFull,0,0.5,B,6,10
